full_name,fighter_id,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url,weight_class,total_fights,win_rate
Ildemar Alcantara,4056,Marajo,187.96,185.0,198.12,Orthodox,1982-11-18,21,11,0,,http://ufcstats.com/fighter-details/7c6e87729e824ef4,Middleweight,32,0.65625
Jose Alday,4051,Pochito,170.18,135.0,172.72,Orthodox,1991-09-14,14,6,1,,http://ufcstats.com/fighter-details/7460ddef986d3144,Bantamweight,21,0.6666666666666666
Irina Alekseeva,4048,Russian Ronda,172.72,135.0,170.18,Orthodox,1990-06-27,5,1,0,,http://ufcstats.com/fighter-details/103e2e33a60683e1,Bantamweight,6,0.8333333333333334
Jim Alers,4046,The Beast,175.26,145.0,180.34,Orthodox,1986-10-14,13,3,0,1.0,http://ufcstats.com/fighter-details/fe5a9547479396ab,Featherweight,16,0.8125
John Alessio,4045,The Natural,177.8,155.0,182.88,Orthodox,1979-07-05,35,17,0,2.0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,Lightweight,52,0.6730769230769231
Houston Alexander,4044,The Assassin,182.88,205.0,182.88,Orthodox,1972-03-22,17,15,1,2.0,http://ufcstats.com/fighter-details/0541480fbf719d86,Light Heavyweight,33,0.5151515151515151
Lucas Alexander,4042,The Lion,180.34,145.0,185.42,Orthodox,1995-07-28,8,3,0,,http://ufcstats.com/fighter-details/11583163f45c7b31,Featherweight,11,0.7272727272727273
Marcio Alexandre Junior,4041,Lyoto,182.88,185.0,190.5,Southpaw,1989-05-05,17,4,0,,http://ufcstats.com/fighter-details/d53482bef23235ba,Middleweight,21,0.8095238095238095
Bill Algeo,4037,Senor Perfecto,182.88,145.0,185.42,Switch,1989-06-09,17,7,0,,http://ufcstats.com/fighter-details/9abc648e76c4493a,Featherweight,24,0.7083333333333334
Nurullo Aliev,4033,Tajik Eagle,177.8,155.0,182.88,Orthodox,2000-12-08,9,0,0,,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,Lightweight,9,1.0
Leon Aliu,4031,The Albanian Lion,182.88,185.0,187.96,Orthodox,1989-07-14,10,2,0,,http://ufcstats.com/fighter-details/6db394bf6c3b017c,Middleweight,12,0.8333333333333334
Arnold Allen,4028,Almighty,172.72,145.0,177.8,Southpaw,1994-01-22,19,2,0,,http://ufcstats.com/fighter-details/040a74bb0a465c54,Featherweight,21,0.9047619047619048
Brendan Allen,4027,All In,187.96,185.0,190.5,Orthodox,1995-12-28,22,5,0,,http://ufcstats.com/fighter-details/2f181c0467965b98,Middleweight,27,0.8148148148148148
Ben Alloway,4025,Blanco,180.34,170.0,193.04,Orthodox,1981-02-19,18,8,0,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Welterweight,26,0.6923076923076923
Assu Almabayev,4024,Zulfikar,162.56,125.0,165.1,Orthodox,1994-01-25,18,2,0,,http://ufcstats.com/fighter-details/8d3273573b85be09,Flyweight,20,0.9
Ricardo Almeida,4023,Big Dog,182.88,170.0,187.96,Orthodox,1976-11-29,13,5,0,,http://ufcstats.com/fighter-details/91186547a7f3f758,Welterweight,18,0.7222222222222222
Thomas Almeida,4021,Thominhas,170.18,145.0,177.8,Southpaw,1991-07-31,22,5,0,,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,Featherweight,27,0.8148148148148148
Jailton Almeida,4018,Malhadinho,190.5,205.0,200.66,Orthodox,1991-06-26,19,2,0,,http://ufcstats.com/fighter-details/41e83a89929d1327,Light Heavyweight,21,0.9047619047619048
Cesar Almeida,4016,Cesinha,185.42,185.0,187.96,Orthodox,1988-03-23,4,0,0,,http://ufcstats.com/fighter-details/64d47ef881a437a4,Middleweight,4,1.0
Sarah Alpar,4014,Too Sweet,162.56,135.0,160.02,Southpaw,1991-06-01,9,6,0,,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Bantamweight,15,0.6
Ali AlQaisi,4013,The Royal Fighter,167.64,135.0,172.72,Orthodox,1990-09-23,8,5,0,,http://ufcstats.com/fighter-details/e87a13e02c01331d,Bantamweight,13,0.6153846153846154
Victor Altamirano,4011,El Magnifico,172.72,125.0,177.8,Switch,1991-01-23,12,3,0,,http://ufcstats.com/fighter-details/dc7927cd622676a7,Flyweight,15,0.8
Patricia Alujas,4009,The Angel,162.56,115.0,162.56,Orthodox,1996-05-08,9,3,0,,http://ufcstats.com/fighter-details/430c533614d45813,Flyweight,12,0.75
Joel Alvarez,4005,El Fenomeno,190.5,155.0,195.58,Orthodox,1993-03-02,20,3,0,,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,Lightweight,23,0.8695652173913043
Thiago Alves,4004,Pitbull,175.26,170.0,177.8,Orthodox,1983-10-03,23,15,0,,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,Welterweight,38,0.6052631578947368
Rafael Alves,4000,The Turn,172.72,155.0,172.72,Orthodox,1990-11-14,20,12,0,,http://ufcstats.com/fighter-details/029afd138865d20a,Lightweight,32,0.625
Sam Alvey,3999,Smile'N,187.96,185.0,190.5,Southpaw,1986-05-06,33,18,1,1.0,http://ufcstats.com/fighter-details/d156513a19acf856,Middleweight,52,0.6346153846153846
Adlan Amagov,3997,Borz,187.96,170.0,193.04,Orthodox,1986-10-30,14,2,1,,http://ufcstats.com/fighter-details/1e327b281ef6a745,Welterweight,17,0.8235294117647058
Hyder Amil,3990,The Hurricane,175.26,145.0,177.8,Switch,1990-05-28,8,0,0,,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,Featherweight,8,1.0
Makwan Amirkhani,3989,Mr. Finland,177.8,145.0,182.88,Southpaw,1988-11-08,17,9,0,,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,Featherweight,26,0.6538461538461539
Eryk Anders,3985,Ya Boi,185.42,185.0,190.5,Southpaw,1987-04-21,15,8,0,1.0,http://ufcstats.com/fighter-details/cad24459b28592ca,Middleweight,23,0.6521739130434783
Corey Anderson,3981,Overtime,190.5,205.0,200.66,Orthodox,1989-09-22,14,5,0,,http://ufcstats.com/fighter-details/5e4eec08896c9423,Light Heavyweight,19,0.7368421052631579
Jessica Andrade,3976,Bate Estaca,154.94,115.0,157.48,Orthodox,1991-09-25,24,12,0,,http://ufcstats.com/fighter-details/6a1901c62ab3870f,Flyweight,36,0.6666666666666666
Dylan Andrews,3971,The Villain,185.42,185.0,187.96,Switch,1979-11-15,18,7,0,1.0,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Middleweight,25,0.72
Chad Anheliger,3966,The Monster,167.64,135.0,162.56,Orthodox,1986-12-01,12,6,0,,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,Bantamweight,18,0.6666666666666666
Adam Antolin,3962,Captain Chaos,165.1,125.0,160.02,Orthodox,1982-02-28,12,3,0,,http://ufcstats.com/fighter-details/25b31165758402dd,Flyweight,15,0.8
Shinsho Anzai,3959,Animal,170.18,170.0,177.8,Orthodox,1985-12-01,10,3,0,,http://ufcstats.com/fighter-details/4665f9f909cd7214,Welterweight,13,0.7692307692307693
Felipe Arantes,3952,Sertanejo,172.72,135.0,185.42,Orthodox,1988-02-09,18,10,1,2.0,http://ufcstats.com/fighter-details/71002dbc1743b9a7,Bantamweight,29,0.6206896551724138
Viviane Araujo,3950,Vivi,162.56,125.0,172.72,Orthodox,1986-11-21,11,5,0,,http://ufcstats.com/fighter-details/36541f1e6c5d4955,Flyweight,16,0.6875
Dan Argueta,3945,The Determined,170.18,135.0,172.72,Southpaw,1993-08-13,9,2,0,1.0,http://ufcstats.com/fighter-details/e4ba58725825412d,Bantamweight,11,0.8181818181818182
Andrei Arlovski,3942,The Pitbull,190.5,240.0,195.58,Orthodox,1979-02-04,34,22,0,2.0,http://ufcstats.com/fighter-details/3738e68d2261e60f,Heavyweight,56,0.6071428571428571
Eli Aronov,3937,The Israeli Tank,177.8,185.0,182.88,Orthodox,1996-06-06,6,1,0,,http://ufcstats.com/fighter-details/a90c200c3fbb22c4,Middleweight,7,0.8571428571428571
Akbarh Arreola,3935,El Caballero,177.8,155.0,180.34,Southpaw,1983-01-14,23,11,1,,http://ufcstats.com/fighter-details/c136b2a8852da5bd,Lightweight,35,0.6571428571428571
Matt Arroyo,3934,No Regard,177.8,170.0,182.88,Orthodox,1982-09-01,3,3,0,,http://ufcstats.com/fighter-details/de62052b2ede65ba,Welterweight,6,0.5
Teddy Ash,3929,Bear,185.42,185.0,185.42,Switch,1989-12-27,14,5,0,,http://ufcstats.com/fighter-details/a373085066dbfb54,Middleweight,19,0.7368421052631579
Yanal Ashmouz,3927,Red Fox,175.26,155.0,172.72,Orthodox,1995-03-31,7,1,0,,http://ufcstats.com/fighter-details/c739c2995a275314,Lightweight,8,0.875
Askar Askar,3925,AK-47,170.18,145.0,175.26,Orthodox,1994-08-19,11,1,0,,http://ufcstats.com/fighter-details/2abc414136504554,Featherweight,12,0.9166666666666666
Askar Askarov,3924,Bullet,167.64,125.0,170.18,Orthodox,1992-10-09,14,1,1,,http://ufcstats.com/fighter-details/b1d19449397541dc,Flyweight,16,0.875
Cyril Asker,3923,Silverback,182.88,247.0,187.96,Orthodox,1985-12-24,9,4,0,,http://ufcstats.com/fighter-details/9be6020024133293,Heavyweight,13,0.6923076923076923
Khusein Askhabov,3922,Nohcho,172.72,145.0,175.26,Orthodox,1995-02-13,23,1,0,,http://ufcstats.com/fighter-details/5c10da56d712ac9c,Featherweight,24,0.9583333333333334
Ben Askren,3920,Funky,180.34,170.0,185.42,Orthodox,1984-07-18,19,2,0,1.0,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,Welterweight,21,0.9047619047619048
Ibo Aslan,3919,The Last Ottoman,190.5,205.0,195.58,Orthodox,1996-04-23,12,1,0,,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,Light Heavyweight,13,0.9230769230769231
Rich Attonito,3913,The Raging Bull,177.8,170.0,182.88,Orthodox,1977-06-16,10,5,0,,http://ufcstats.com/fighter-details/210935fd21670f6d,Welterweight,15,0.6666666666666666
Olivier Aubin-Mercier,3912,The Canadian Gangster,175.26,155.0,177.8,Southpaw,1989-02-23,11,5,0,,http://ufcstats.com/fighter-details/55ee431411ccf07a,Lightweight,16,0.6875
Marcus Aurelio,3909,Maximus,177.8,155.0,187.96,Orthodox,1973-08-18,22,10,0,,http://ufcstats.com/fighter-details/04643fd03d9159cc,Lightweight,32,0.6875
Blas Avena,3907,The Disciple,182.88,170.0,187.96,Orthodox,1983-06-30,8,7,0,1.0,http://ufcstats.com/fighter-details/8753e125f4499816,Welterweight,15,0.5333333333333333
Julia Avila,3903,Raging Panda,170.18,135.0,172.72,Orthodox,1988-05-11,9,2,0,,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,Bantamweight,11,0.8181818181818182
Abu Azaitar,3899,Captain Morocco,175.26,185.0,193.04,Orthodox,1986-03-10,14,3,1,,http://ufcstats.com/fighter-details/46d0a888d87d91ac,Middleweight,18,0.7777777777777778
Ottman Azaitar,3898,Bulldozer,172.72,155.0,180.34,Switch,1990-02-20,13,2,0,,http://ufcstats.com/fighter-details/ee18ff42063174df,Lightweight,15,0.8666666666666667
Seth Baczynski,3893,The Polish Pistola,190.5,170.0,190.5,Orthodox,1981-10-26,20,14,0,,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,Welterweight,34,0.5882352941176471
Ryan Bader,3891,Darth,187.96,205.0,187.96,Orthodox,1983-06-07,23,5,0,,http://ufcstats.com/fighter-details/c0ab242c40decc55,Light Heavyweight,28,0.8214285714285714
Miguel Baeza,3889,Caramel Thunder,187.96,170.0,187.96,Orthodox,1992-08-23,10,3,0,,http://ufcstats.com/fighter-details/82d4c957649faf9b,Welterweight,13,0.7692307692307693
Ali Bagautinov,3888,Puncher,162.56,125.0,165.1,Orthodox,1985-06-10,15,6,0,,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,Flyweight,21,0.7142857142857143
Melsik Baghdasaryan,3886,The Gun,175.26,145.0,177.8,Southpaw,1992-01-28,8,2,0,,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,Featherweight,10,0.8
Siyar Bahadurzada,3885,The Great,180.34,170.0,185.42,Orthodox,1984-04-17,24,8,1,,http://ufcstats.com/fighter-details/aec185309b4843d0,Welterweight,33,0.7272727272727273
Ignacio Bahamondes,3884,La Jaula,190.5,155.0,190.5,Orthodox,1997-08-27,14,5,0,,http://ufcstats.com/fighter-details/e4a47b07044ddd72,Lightweight,19,0.7368421052631579
Bahatebole Batebolati,3883,Lion King,180.34,155.0,180.34,Southpaw,1997-09-12,8,1,1,,http://ufcstats.com/fighter-details/8f313e9c3a39c06e,Lightweight,10,0.8
Oluwale Bamgbose,3876,Holy War Angel,180.34,185.0,198.12,Switch,1987-08-04,6,4,0,,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,Middleweight,10,0.6
Tae Hyun Bang,3872,Supernatural,175.26,155.0,180.34,Switch,1983-04-15,18,10,0,,http://ufcstats.com/fighter-details/9a2d3567abc02e34,Lightweight,28,0.6428571428571429
Shauna Bannon,3870,Mama B,165.1,115.0,165.1,Switch,1993-10-23,5,1,0,,http://ufcstats.com/fighter-details/9c442aaf149ea982,Flyweight,6,0.8333333333333334
Renan Barao,3868,The Baron,167.64,145.0,177.8,Orthodox,1987-01-31,34,9,0,1.0,http://ufcstats.com/fighter-details/2c99576fefe53c7c,Featherweight,43,0.7906976744186046
Maycee Barber,3866,The Future,165.1,125.0,165.1,Switch,1998-05-18,13,2,0,,http://ufcstats.com/fighter-details/6a740daf1b279661,Flyweight,15,0.8666666666666667
Bryan Barberena,3865,Bam Bam,182.88,170.0,182.88,Southpaw,1989-05-03,18,11,0,,http://ufcstats.com/fighter-details/a331233f597090a5,Welterweight,29,0.6206896551724138
Dione Barbosa,3864,The Witch,167.64,125.0,167.64,Orthodox,1992-05-08,6,2,0,,http://ufcstats.com/fighter-details/27b388f0aab49780,Flyweight,8,0.75
Edson Barboza,3863,Junior,180.34,145.0,190.5,Orthodox,1986-01-21,23,11,0,,http://ufcstats.com/fighter-details/64a50dad704d1d49,Featherweight,34,0.6764705882352942
Danny Barlow,3860,LeftHand2God,187.96,170.0,200.66,Southpaw,1995-08-02,7,0,0,,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,Welterweight,7,1.0
Luke Barnatt,3859,The Bigslow,198.12,185.0,195.58,Orthodox,1988-04-13,13,4,0,,http://ufcstats.com/fighter-details/172c2135e70f87b7,Middleweight,17,0.7647058823529411
James Barnes,3858,Mooka,172.72,135.0,180.34,Orthodox,1982-05-28,14,5,0,,http://ufcstats.com/fighter-details/c06a5c95f1169c0b,Bantamweight,19,0.7368421052631579
Shonte Barnes,3856,Shyne,180.34,185.0,193.04,Southpaw,1987-02-09,6,2,1,,http://ufcstats.com/fighter-details/e575b6ff678c1aca,Middleweight,9,0.6666666666666666
Josh Barnett,3855,The Warmaster,190.5,250.0,198.12,Orthodox,1977-11-10,35,8,0,,http://ufcstats.com/fighter-details/ad3f53c454cbbead,Heavyweight,43,0.813953488372093
Chris Barnett,3854,Beastboy,175.26,265.0,190.5,Orthodox,1986-06-14,23,8,0,,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,Heavyweight,31,0.7419354838709677
Phil Baroni,3851,The New York Bad Ass,175.26,170.0,182.88,Orthodox,1976-04-16,15,18,0,,http://ufcstats.com/fighter-details/1652f3213655b935,Welterweight,33,0.45454545454545453
Peter Barrett,3847,Slippery,177.8,145.0,185.42,Southpaw,1986-08-10,11,5,0,,http://ufcstats.com/fighter-details/d21113c9ff3788ae,Featherweight,16,0.6875
Marc-Andre Barriault,3846,Powerbar,185.42,185.0,187.96,Orthodox,1990-02-18,16,6,0,1.0,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,Middleweight,22,0.7272727272727273
Francimar Barroso,3842,Bodao,185.42,205.0,190.5,Orthodox,1980-02-28,19,7,0,1.0,http://ufcstats.com/fighter-details/b69f24c500d783e7,Light Heavyweight,26,0.7307692307692307
Pat Barry,3841,HD,180.34,235.0,187.96,Orthodox,1979-07-07,8,7,0,,http://ufcstats.com/fighter-details/658c3465581ae46b,Heavyweight,15,0.5333333333333333
Dean Barry,3840,The Sniper,177.8,170.0,182.88,Orthodox,1992-07-03,4,2,0,,http://ufcstats.com/fighter-details/a6f3d15cb84334bb,Welterweight,6,0.6666666666666666
Enrique Barzola,3839,El Fuerte,170.18,145.0,177.8,Orthodox,1989-04-28,17,5,2,,http://ufcstats.com/fighter-details/be0b310a12eb80b4,Featherweight,24,0.7083333333333334
Javid Basharat,3838,The Snow Leopard,175.26,135.0,175.26,Orthodox,1995-09-07,14,0,0,,http://ufcstats.com/fighter-details/bbab3baf66128ae2,Bantamweight,14,1.0
Farid Basharat,3837,Ferocious,172.72,135.0,180.34,Orthodox,1997-08-02,11,0,0,,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,Bantamweight,11,1.0
Bryan Battle,3831,Pooh Bear,185.42,170.0,195.58,Orthodox,1994-09-21,11,2,0,,http://ufcstats.com/fighter-details/f626118b6da0e020,Welterweight,13,0.8461538461538461
Alan Baudot,3830,The Black Samourai,190.5,243.0,200.66,Orthodox,1988-02-01,8,3,0,2.0,http://ufcstats.com/fighter-details/c9a94278df042f46,Heavyweight,11,0.7272727272727273
Chris Beal,3828,Real Deal,170.18,125.0,175.26,Orthodox,1985-08-06,10,5,0,,http://ufcstats.com/fighter-details/55f446032177b119,Flyweight,15,0.6666666666666666
Donovan Beard,3827,The Highlight Reel,187.96,185.0,198.12,Orthodox,1989-11-05,7,2,0,,http://ufcstats.com/fighter-details/3a6ac598320ca7f2,Middleweight,9,0.7777777777777778
Johnny Bedford,3821,Brutal,177.8,135.0,180.34,Orthodox,1983-01-06,21,13,1,1.0,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,Bantamweight,35,0.6
Rolando Bedoya,3820,The Machine,180.34,170.0,187.96,Orthodox,1997-01-13,14,3,0,,http://ufcstats.com/fighter-details/40a456a25d52ee65,Welterweight,17,0.8235294117647058
Allan Begosso,3817,Mini,165.1,135.0,167.64,Orthodox,1995-11-23,7,2,1,,http://ufcstats.com/fighter-details/d6ed764f8b78d32a,Bantamweight,10,0.7
Diana Belbita,3815,The Warrior Princess,170.18,115.0,172.72,Orthodox,1996-06-26,15,7,0,,http://ufcstats.com/fighter-details/d7e40dca3ae125be,Flyweight,22,0.6818181818181818
Alan Belcher,3814,The Talent,187.96,185.0,190.5,Orthodox,1984-04-24,18,8,0,,http://ufcstats.com/fighter-details/4130a743d9d22163,Middleweight,26,0.6923076923076923
Vitor Belfort,3813,The Phenom,182.88,185.0,187.96,Southpaw,1977-04-01,26,14,0,1.0,http://ufcstats.com/fighter-details/0ee783aa00e468f0,Middleweight,40,0.65
Yousri Belgaroui,3812,Baby Face Assassin,195.58,185.0,200.66,Orthodox,1987-07-07,5,3,0,,http://ufcstats.com/fighter-details/7674b836ce0698a0,Middleweight,8,0.625
Rodolfo Bellato,3811,Trator,190.5,205.0,190.5,Orthodox,1996-02-05,10,2,0,,http://ufcstats.com/fighter-details/69898645d600abdb,Light Heavyweight,12,0.8333333333333334
Danilo Belluardo,3810,Caterpillar,182.88,155.0,187.96,Southpaw,1994-07-21,12,5,0,,http://ufcstats.com/fighter-details/c3f6db17cea09ca7,Lightweight,17,0.7058823529411765
Joey Beltran,3809,The Mexicutioner,185.42,185.0,190.5,Orthodox,1981-12-08,17,14,0,1.0,http://ufcstats.com/fighter-details/46baf0f57edfa4df,Middleweight,31,0.5483870967741935
Marco Beltran,3808,Psycho,172.72,125.0,175.26,Orthodox,1986-05-18,8,6,0,,http://ufcstats.com/fighter-details/ec71a892fada28c7,Flyweight,14,0.5714285714285714
Gabriel Benitez,3803,Moggly,172.72,155.0,180.34,Southpaw,1988-06-15,23,11,0,,http://ufcstats.com/fighter-details/436f970c9ea9169c,Lightweight,34,0.6764705882352942
DeAnna Bennett,3800,The Argentine Assassin,162.56,125.0,172.72,Orthodox,1984-11-18,8,3,1,,http://ufcstats.com/fighter-details/404ecb2700844072,Flyweight,12,0.6666666666666666
Ryan Benoit,3797,Baby Face,165.1,125.0,172.72,Orthodox,1989-08-25,10,8,0,,http://ufcstats.com/fighter-details/20999e27ddd94bda,Flyweight,18,0.5555555555555556
Dennis Bermudez,3790,The Menace,167.64,155.0,167.64,Orthodox,1986-12-13,17,9,0,,http://ufcstats.com/fighter-details/6f242453c91a5af0,Lightweight,26,0.6538461538461539
Manny Bermudez,3789,The Bermudez Triangle,177.8,145.0,180.34,Orthodox,1994-07-16,14,2,0,,http://ufcstats.com/fighter-details/2dc1bc1a02961656,Featherweight,16,0.875
Matt Bessette,3780,The Mangler,177.8,145.0,177.8,Orthodox,1984-12-28,22,9,0,1.0,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,Featherweight,31,0.7096774193548387
KB Bhullar,3776,The Bengal,193.04,185.0,198.12,Switch,1991-10-12,8,2,0,,http://ufcstats.com/fighter-details/9cd047a828dd7515,Middleweight,10,0.8
Bibulatov Magomed,3775,Chaborz,165.1,125.0,165.1,Orthodox,1988-08-22,14,2,0,,http://ufcstats.com/fighter-details/87f19d19f4cb73f8,Flyweight,16,0.875
Blake Bilder,3773,El Animal,172.72,145.0,172.72,Switch,1990-07-12,8,1,1,,http://ufcstats.com/fighter-details/5095b0920a3602aa,Featherweight,10,0.8
Anthony Birchak,3769,El Toro,172.72,135.0,175.26,Orthodox,1986-05-16,16,8,0,,http://ufcstats.com/fighter-details/c5a126ace82a6025,Bantamweight,24,0.6666666666666666
Michael Bisping,3767,The Count,185.42,185.0,190.5,Orthodox,1979-02-28,30,9,0,,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,Middleweight,39,0.7692307692307693
Caio Bittencourt,3765,Leao,182.88,185.0,190.5,Orthodox,1991-05-22,14,7,0,,http://ufcstats.com/fighter-details/a653cb5eb4b39339,Middleweight,21,0.6666666666666666
Brad Blackburn,3760,Bad Brad,177.8,170.0,185.42,Orthodox,1977-05-25,18,13,1,1.0,http://ufcstats.com/fighter-details/7e69a4b0961aa555,Welterweight,32,0.5625
Sherrard Blackledge,3757,The Thriller,180.34,155.0,190.5,Orthodox,1993-08-16,5,1,0,,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad,Lightweight,6,0.8333333333333334
Da'Mon Blackshear,3756,The Monster,177.8,135.0,182.88,Switch,1994-08-12,14,6,1,,http://ufcstats.com/fighter-details/da22387a0407a2dc,Bantamweight,21,0.6666666666666666
Erin Blanchfield,3755,Cold Blooded,162.56,125.0,167.64,Orthodox,1999-05-04,12,1,0,,http://ufcstats.com/fighter-details/669970f7feba8ecd,Flyweight,13,0.9230769230769231
Maximo Blanco,3754,Maxi,172.72,145.0,180.34,Orthodox,1983-10-16,12,8,1,1.0,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,Featherweight,21,0.5714285714285714
Curtis Blaydes,3752,Razor,193.04,265.0,203.2,Orthodox,1991-02-18,17,4,0,1.0,http://ufcstats.com/fighter-details/fa6796c55d6c5440,Heavyweight,21,0.8095238095238095
Kyle Bochniak,3745,Killer B,170.18,145.0,177.8,Orthodox,1987-02-05,8,5,0,,http://ufcstats.com/fighter-details/c5af5750e8bae4f0,Featherweight,13,0.6153846153846154
